open,high,low,close,Volume,timestamp,volume,sma_5,sma_10,sma_20,sma_50,ema_5,ema_10,ema_20,rsi,macd,macd_signal,macd_histogram,bb_middle,bb_upper,bb_lower,bb_width,bb_position,price_change,high_low_ratio,close_open_ratio,volatility,volume_sma,volume_ratio,local_high,local_low,trend_strength,resistance,support,support_resistance_ratio,momentum_5,momentum_10,momentum_20
1773.008,1773.678,1772.185,1772.455,0.172789997333894,1970-01-01 00:00:00.025630628,0.172789997333894,1764.7328000000002,1750.6841,1733.3178,1724.2307200000002,1761.3661567666818,1753.192557713541,1742.3774869592687,62.16008737218655,11.66892101778194,7.9369050483074455,3.732015969474495,1733.3178,1786.8360658660133,1679.7995341339868,107.03653173202656,0.8656433870445523,0.012464048759450064,1.0008424628354264,0.9996881006741086,0.0062982455656945035,1.1318119929077515,0.15266669589706078,False,False,0.038650499443890284,1774.545,1679.985,0.9778976311336702,0.010315454428343473,0.026279799058288367,0.03865049944389032
1769.755,1770.138,1768.688,1770.088,0.781459988153074,1970-01-01 00:00:00.025630629,0.781459988153074,1765.3727999999999,1755.3354,1737.75495,1725.9245799999999,1764.273437847494,1756.264566658837,1745.032702861057,61.2120361927474,12.330054558000256,8.815544982540558,3.514509575459698,1737.75495,1787.7277476044023,1687.7821523955977,99.94559520880466,0.8235065030374804,-0.0013354358784849474,1.000819816722904,1.0001881616381927,0.006245558944499023,1.053629994065705,0.7416835061211647,False,False,0.052780958101995686,1774.545,1679.985,0.9528659052453459,0.0018110938554114497,0.026986351043615686,0.05278095810199579
1780.998,1784.425,1779.418,1783.378,1.91489997775352,1970-01-01 00:00:00.025630630,1.91489997775352,1767.2588,1761.2934,1742.8771000000002,1727.6531800000002,1770.6416252361016,1761.194426697452,1748.7048055897244,69.23685877137432,13.74918297619547,9.802281594503878,3.9469013816915925,1742.8771000000002,1789.194790011031,1696.5594099889693,92.63538002206178,0.9372076844759982,0.007508101292139191,1.0028138413795973,1.0013363294063216,0.006345298129685412,1.1554819920478623,1.6572304812468261,True,False,0.06094405792014562,1784.425,1695.928,0.988169090477643,0.005315826619495034,0.03456321448336741,0.06094405792014568
1765.638,1765.998,1761.715,1762.918,1.49881997852935,1970-01-01 00:00:00.025630701,1.49881997852935,1767.8948,1764.1354,1746.1081000000001,1728.81038,1768.067083489538,1761.507811197158,1750.065203737359,64.91524465242527,13.097184072156779,10.461266905575012,2.6359171665817662,1746.1081000000001,1788.1503450044072,1704.065854995593,84.0844900088141,0.6999167741665276,-0.011472609844912274,1.0024311537337198,0.9984594803691357,0.007783122090923006,1.1726669901938291,1.2781292481692617,False,True,0.03804985932975243,1784.425,1713.318,0.6975403265501277,0.0018070871913886677,0.016385144289586817,0.03804985932975247
1777.558,1778.838,1774.318,1775.438,1.32862999432837,1970-01-01 00:00:00.025630702,1.32862999432837,1772.8554,1766.9844,1748.9566000000002,1730.3473800000002,1770.5240556604529,1764.0406226279597,1752.4925746431097,66.38150586577802,13.421082365014172,11.053233458103188,2.367848906910984,1748.9566000000002,1790.833243646738,1707.0799563532623,83.75328729347575,0.8161834102965742,0.007101861799584608,1.00254745767106,0.9988073525589601,0.007777162917189869,1.2844399899520798,1.0344041019603718,False,False,0.03315162109506841,1784.425,1713.318,0.873613005751897,0.01416800189645473,0.0163084419227133,0.03315162109506842
1775.098,1776.058,1774.575,1774.865,0.414019995783747,1970-01-01 00:00:00.025630703,0.414019995783747,1773.3374,1769.0350999999998,1751.8351000000002,1732.1129199999998,1771.9710371072676,1766.0087229212322,1754.6319850597222,67.72091544818812,13.476424753970832,11.537873983846065,1.9385507701247668,1751.8351000000002,1792.4434375566632,1711.2267624433373,81.21667511332589,0.7835612264090465,-0.0003227372625798086,1.0008356930532663,0.999868739641417,0.007741772758639186,1.2202009910797644,0.33930475291400786,False,False,0.03352365202251211,1784.425,1719.555,0.852628333590258,0.0013596960148494208,0.01168917632547073,0.033523652022512174
1775.368,1775.678,1774.758,1775.098,0.0600399992108578,1970-01-01 00:00:00.025630705,0.0600399992108578,1774.3394,1769.8561000000002,1753.5037499999999,1733.6907199999998,1773.0133580716551,1767.661340518929,1756.588329904473,67.72314580655853,13.384245359439092,11.90714964058893,1.4770957188501619,1753.5037499999999,1795.0936947962844,1711.9138052037154,83.179889592569,0.7596090245583742,0.00013127759012654394,1.0005183805341349,0.9998479188540066,0.007454969455898818,1.1012819912270062,0.05451827932277684,False,False,0.019160889348203678,1784.425,1719.555,0.8562201325728378,0.0028303677557273144,0.004646587672789693,0.01916088934820359
1782.388,1783.588,1782.158,1783.268,0.567509994871216,1970-01-01 00:00:00.025630706,0.567509994871216,1774.3174,1770.7881000000002,1755.6014000000002,1734.9921199999999,1776.431572048084,1770.4989455468253,1759.1377406229938,67.14886494697456,13.803433331129554,12.286407513874789,1.5170258172547655,1755.6014000000002,1798.8035658930748,1712.3992341069256,86.40433178614921,0.8201992241369871,0.004602562788082798,1.0008023979916483,1.0004937196614878,0.007489080551993916,0.9944949911172447,0.5706514360958809,False,False,0.024092711542713394,1784.425,1719.555,0.9821643286573157,-6.168069809087129e-05,0.005253818037507241,0.02409271154271342
1793.818,1794.858,1792.988,1793.868,1.25955999029975,1970-01-01 00:00:00.025630707,1.25955999029975,1780.5074,1774.2010999999998,1758.6773999999998,1736.76932,1782.2437146990785,1774.747901998684,1762.4553802055598,66.71583087512283,14.810765857693923,12.791280391568979,2.0194854661249444,1758.6773999999998,1803.6332975670962,1713.7215024329034,89.91179513419274,0.8913902502722629,0.005944143000379043,1.001042951765433,1.0000278735077917,0.0070010962714035395,1.018006989557762,1.2372802969132093,False,False,0.03551249517995229,1794.858,1719.555,0.9868531134217758,0.0175561200237333,0.019394932654747343,0.035512495179952364
1812.415,1816.308,1811.868,1811.868,3.22256998703233,1970-01-01 00:00:00.025630708,3.22256998703233,1787.7934,1780.3244,1763.2349000000002,1739.05792,1792.1184764664551,1781.497059410525,1767.1742074657598,69.0511210049292,16.852488739077444,13.603523617019574,3.2489651220578697,1763.2349000000002,1810.4138721308811,1716.0559278691192,94.35794426176199,1.0154107625011928,0.010034183117152429,1.0024505096397751,0.9996981927428321,0.006934516762706178,1.122029990329611,2.8720889947742467,True,False,0.052972073285686476,1816.308,1720.558,0.9536292428198427,0.020518880411481533,0.03497759384451915,0.05297207328568643
