timestamp,open,high,low,close,volume,sma_20,rsi_14,macd,elliott_wave_1,elliott_wave_2,elliott_wave_3,impulse_wave,corrective_wave,fibonacci_level,stoch_k,atr,price_change,volatility,target
2024-01-01 00:00:00,2000.496714,1999.669792,1997.54757,2000.098206,225.416374,1996.823005,34.664053,-0.67859,0,0,0,0,1,0.618,45.928023,1.856348,-0.262965,0.001953,1
2024-01-01 00:01:00,2000.35845,1999.299329,1995.95174,2000.034098,2957.660341,1996.432946,43.089128,0.224845,0,0,0,0,0,0.382,84.427067,1.41489,0.126299,0.010452,0
2024-01-01 00:02:00,2001.006138,1999.355145,1996.179227,2000.985889,3140.669651,2008.398504,42.118101,0.616457,0,0,0,0,0,0.382,97.635339,1.476221,0.459852,0.00325,1
2024-01-01 00:03:00,2002.529168,1999.108627,1996.436514,2002.51872,830.045426,1996.707275,39.153753,-0.036565,0,1,0,1,1,0.618,88.241366,2.875719,-0.195079,0.001973,1
2024-01-01 00:04:00,2002.295015,2001.216304,1996.833855,2003.205567,208.316596,1999.392119,39.835661,0.375068,0,0,0,1,0,0.382,40.181189,0.266136,1.441485,0.005882,0
2024-01-01 00:05:00,2002.060878,1999.609363,1998.186418,2004.217111,875.307017,1993.68857,69.591596,-0.295763,1,0,0,1,1,0.382,73.600735,1.498079,-0.060511,0.016971,0
2024-01-01 00:06:00,2003.640091,2001.955087,1995.248209,2003.999706,2638.047574,1997.654026,77.489749,0.062941,0,0,0,0,1,0.382,99.592406,7.658621,0.10965,0.005714,0
2024-01-01 00:07:00,2004.407525,2000.732954,1995.653757,2004.125111,474.430662,2003.006853,69.68536,0.049927,0,0,0,0,0,0.236,1.604881,1.183755,-0.220011,0.00119,0
2024-01-01 00:08:00,2003.938051,1998.55825,1995.515791,2005.610843,148.194715,2003.402385,17.639108,-0.175147,0,1,0,1,1,0.382,43.931373,0.533759,0.196988,0.019333,1
2024-01-01 00:09:00,2004.480611,2001.312179,1994.677396,2006.137555,1183.15822,2004.920807,66.168594,-0.472277,0,1,1,0,1,0.618,34.461626,0.880642,0.400385,0.002227,0
2024-01-01 00:10:00,2004.017193,2000.870181,1995.195926,2005.895525,1067.895722,1995.011807,61.047583,-0.364826,0,0,0,0,0,0.236,62.327951,0.28721,0.326424,0.003413,0
2024-01-01 00:11:00,2003.551464,2001.36674,1992.492594,2005.928075,1.389206,1996.633124,49.441579,-0.342594,1,0,0,0,0,0.382,96.875078,4.524147,-0.490943,0.00983,1
2024-01-01 00:12:00,2003.793426,2000.189072,1993.131705,2006.965227,1921.450847,2004.088114,42.545362,-0.229789,0,0,1,0,0,0.382,19.742311,0.097635,0.949504,0.019025,0
2024-01-01 00:13:00,2001.880146,2000.183243,1992.957249,2008.091454,1081.009427,1999.879124,45.426278,-0.068378,0,1,0,0,0,0.618,82.304878,0.176827,-2.250242,0.029115,0
2024-01-01 00:14:00,2000.155228,2000.482853,1989.441191,2007.249322,217.781197,1999.697719,64.849803,0.072236,0,1,0,0,0,0.236,51.122512,0.459058,-0.511757,0.002577,1
2024-01-01 00:15:00,1999.59294,2000.072937,1989.477516,2007.611914,3.244015,2002.950595,55.785245,0.071456,0,0,0,0,0,0.618,38.177003,4.018571,1.330805,0.001639,0
2024-01-01 00:16:00,1998.580109,2000.267001,1988.941122,2007.604071,3586.327859,2004.983226,68.293446,-0.05127,0,0,0,0,0,0.382,81.835642,4.004858,1.182048,0.019934,0
2024-01-01 00:17:00,1998.894357,2000.902907,1988.847955,2007.538535,1405.190722,1996.506854,62.220139,0.007409,1,0,0,0,0,0.382,84.563777,1.594221,-0.105638,0.00125,1
2024-01-01 00:18:00,1997.986332,1999.629945,1990.405616,2008.868843,454.210915,1999.481491,71.607798,-0.428311,0,0,1,1,1,0.236,71.556464,0.775266,-1.048466,0.00389,1
2024-01-01 00:19:00,1996.574029,2002.286733,1989.267317,2008.631305,567.02291,1999.400691,59.509479,0.095502,0,0,0,0,1,0.618,6.542731,1.222365,-0.665624,0.003016,0
2024-01-01 00:20:00,1998.039678,2004.223885,1989.112442,2008.055728,774.054704,1995.156252,32.941595,-0.783016,0,0,0,0,1,0.618,87.019196,3.467753,-0.558306,0.012018,0
2024-01-01 00:21:00,1997.813901,2002.819694,1991.040868,2007.240736,1268.077298,2001.498416,25.99891,-0.505725,0,0,0,0,0,0.236,83.491218,1.856123,-1.144825,0.020266,1
2024-01-01 00:22:00,1997.881429,2004.124654,1991.00951,2007.06619,189.867113,1997.304436,59.690619,-0.520244,0,0,0,0,0,0.382,27.665062,2.725021,0.728177,0.002656,0
2024-01-01 00:23:00,1996.456681,2004.376823,1989.886232,2006.330943,217.819064,1999.974007,59.008754,-0.285523,0,0,0,0,1,0.236,60.190967,0.229403,-0.00951,0.002068,1
2024-01-01 00:24:00,1995.912299,2005.740426,1991.054954,2005.466161,49.47356,2003.247375,40.742801,0.144623,0,0,0,0,0,0.382,90.785147,1.065475,1.477205,0.011214,0
2024-01-01 00:25:00,1996.023221,2007.65884,1992.041819,2004.576191,4254.107621,2001.342934,53.709566,0.087217,0,0,0,0,0,0.382,28.357537,1.176745,-1.323003,0.012909,0
2024-01-01 00:26:00,1994.872228,2008.402736,1991.392245,2003.745649,2084.019907,1995.564923,43.183489,0.136616,1,0,0,0,1,0.236,41.643166,0.597244,-0.995131,0.000408,1
